x,location,watershed,site_enviro,site_type,site_salinity,lattitude,longitude,elevation,max_elevation_watershed-m,wsp,group_by_water_shed_percent,group_by_elevation,distribution,watershed_order,mauka,norm_order,norm_watershed_order,watershed_mauka,type_norm_order
214,S_KukioHR5,KIHOLO,Freshwater,Groundwater,Freshwater,19.759722,-155.975833,459.3,1571,0.292361553,MID.1,MAUKA.2,2,KIHOLO_2,MAUKA,3,KIHOLO_3,KIHOLO_MAUKA,2.Aggriculture_KIHOLO_3
215,S_KukioHR3,KIHOLO,Freshwater,Groundwater,Freshwater,19.75666833,-155.98,461.4,1571,0.293698281,MID.1,MAUKA.2,2,KIHOLO_2,MAUKA,4,KIHOLO_4,KIHOLO_MAUKA,2.Aggriculture_KIHOLO_4
216,S_KukioHR4,KEAUHOU,Freshwater,Groundwater,Freshwater,19.745833,-155.982222,470.5,1571,0.29949077,MID.1,MAUKA.2,2,KEAUHOU_2,MAUKA,4,KEAUHOU_4,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_4
217,S_KukioHR2,KEAUHOU,Freshwater,Groundwater,Freshwater,19.741667,-155.981944,475,1571,0.302355188,MID.1,MAUKA.2,2,KEAUHOU_2,MAUKA,4,KEAUHOU_4,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_4
218,S_Makalei,KEAUHOU,Freshwater,Groundwater,Freshwater,19.7325,-155.978889,547.5,1571,0.348504137,MID.1,MAUKA.2,3,KEAUHOU_3,MAUKA,3,KEAUHOU_3,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_3
219,N2_Kalaoa,KEAUHOU,Freshwater,Groundwater,Freshwater,19.718611,-155.975556,537.9,1571,0.34239338,MID.1,MAUKA.3,4,KEAUHOU_4,MAUKA,3,KEAUHOU_3,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_3
220,N2_PalaniRanch,KEAUHOU,Freshwater,Groundwater,Freshwater,19.690288,-155.969143,511.6,1571,0.325652451,MID.1,MAUKA.3,5,KEAUHOU_5,MAUKA,3,KEAUHOU_3,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_3
221,N2_Honokohau,KEAUHOU,Freshwater,Groundwater,Freshwater,19.682222,-155.964444,511.4,1571,0.325525143,MID.1,MAUKA.3,5,KEAUHOU_5,MAUKA,3,KEAUHOU_3,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_3
222,N2_QLT,KEAUHOU,Freshwater,Groundwater,Freshwater,19.667632,-155.9582335,517.8,1571,0.329598982,MID.1,MAUKA.3,6,KEAUHOU_6,MAUKA,3,KEAUHOU_3,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_3
223,N2_Keopu,KEAUHOU,Freshwater,Groundwater,Freshwater,19.650278,-155.952222,494.4,1571,0.31470401,MID.1,MAUKA.3,6,KEAUHOU_6,MAUKA,4,KEAUHOU_4,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_4
224,N2_Holualoa,KEAUHOU,Freshwater,Groundwater,Freshwater,19.612778,-155.951944,337.3,1571,0.21470401,MID.1,MAUKA.3,7,KEAUHOU_7,MAUKA,4,KEAUHOU_4,KEAUHOU_MAUKA,2.Aggriculture_KEAUHOU_4
225,N3_KahaluuC,KEAUHOU,Freshwater,Groundwater,Freshwater,19.582778,-155.949444,254,1571,0.161680458,MID.2,MAUKA.3,8,KEAUHOU_8,KALA,4,KEAUHOU_4,KEAUHOU_KALA,2.Aggriculture_KEAUHOU_4
226,N3_KahaluuD,KEAUHOU,Freshwater,Groundwater,Freshwater,19.581389,-155.949167,263.4,1571,0.167663908,MID.2,MAUKA.3,8,KEAUHOU_8,KALA,4,KEAUHOU_4,KEAUHOU_KALA,2.Aggriculture_KEAUHOU_4
227,N3_KahaluuB,KEAUHOU,Freshwater,Groundwater,Freshwater,19.581667,-155.949722,254.9,1571,0.162253342,MID.2,MAUKA.3,8,KEAUHOU_8,KALA,4,KEAUHOU_4,KEAUHOU_KALA,2.Aggriculture_KEAUHOU_4
228,N3_KahaluuA,KEAUHOU,Freshwater,Groundwater,Freshwater,19.583056,-155.949722,253.5,1571,0.16136219,MID.2,MAUKA.3,8,KEAUHOU_8,KALA,4,KEAUHOU_4,KEAUHOU_KALA,2.Aggriculture_KEAUHOU_4
229,N3_KahaluuShaft,KEAUHOU,Freshwater,Groundwater,Freshwater,19.581356,-155.954122,178.3,1571,0.113494589,MID.2,MID.1,9,KEAUHOU_9,KALA,4,KEAUHOU_4,KEAUHOU_KALA,2.Aggriculture_KEAUHOU_4
230,Koholalele,KOHOLALELE,Marine,Ocean,Marine,20.0486243,-155.3506723,3.9,1964,0.001985743,MAKAI,MAKAI,3,KOHOLALELE_3,MAKAI,7,KOHOLALELE_7,KOHOLALELE_MAKAI,3.Urban_KOHOLALELE_7
231,Lepelau,KOHOLALELE,Freshwater,Stream,Freshwater,20.0212343,-155.3598134,417.6,1964,0.212627291,MID.1,MAUKA.3,1,KOHOLALELE_1,MAUKA,3,KOHOLALELE_3,KOHOLALELE_MAUKA,3.Urban_KOHOLALELE_3
